title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,reference-url,cdmid,contentdm-file-name,contentdm-file-path,objectid
Untitled flyer from Frank B. Robinson,A form letter/flyer from Frank B. Robinson urging the reader to shrug off orthodox religion and try Psychiana.,"Robinson, Frank B.",My dear friend,1935,yes,multiple-page; flyers,Eternal Life; Criticizing Orthodox Religion; Power of God; Spirit of God,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 20",MG101_b7_f20_061,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1172,1172,899.pdf,/psychiana/image/899.pdf,psychiana1172
"The Psychiana Bulletin, April 1950","Bulletin includes a primary article focused on the concept of perfection, and the difficulty of attaining a state of perfection in the various fields of one's life.  Also includes stories written for children, letters from students, Q and A, and other articles.",The Wayfarer'; Various,,1950-04-01,,multiple-page; bulletins,Psychiana Bulletin,Perfection; American Society; Testimonials,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 26",MG101_b4_f26_021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1173,1173,900.pdf,/psychiana/image/900.pdf,psychiana1173
"The Psychiana Bulletin, November 1950","Bulletin includes a primary article describing the Salmon River in Idaho and using the riverbed as a metaphor for places where people can find quiet strength without turbulence.  Another article lists Psychiana affirmations to draw Power from and talk with God. Also includes stories written for children, letters from students, Q and A, and other articles.",The Wayfarer'; Various,,1950-11-01,,multiple-page; bulletins,Psychiana Bulletin,Salmon River; Nature; Testimonials; Psychiana Affirmations; Talking with God,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 26",MG101_b4_f26_022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1174,1174,901.pdf,/psychiana/image/901.pdf,psychiana1174
Untitled letter accompanying Lesson Seven,A form letter from Frank B. Robinson sent with Lesson seven. Robinson request the student write to him for he wants to help them.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Thought Exercises; Truth; Lessons; Creation,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1175,1175,902.pdf,/psychiana/image/902.pdf,psychiana1175
Untitled letter accompanying Lesson Four,A form letter from Frank B. Robinson sent with Lesson four. Robinson encourages the student to master this lesson before moving on to the next.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,God-Law; Lesson; Creator,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1176,1176,903.pdf,/psychiana/image/903.pdf,psychiana1176
Untitled letter accompanying Lesson Eight,A form letter from Frank B. Robinson sent with Lesson eight. Robinson request the student write to him if they are not sure on any point.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lesson; Exercises,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1177,1177,904.pdf,/psychiana/image/904.pdf,psychiana1177
Untitled letter accompanying Lesson Nine,A form letter from Frank B. Robinson sent with Lesson nine. Robinson tells his student about the truths of Spiritual power.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lessons; Spiritual Power; Truth; God-Law,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1178,1178,905.pdf,/psychiana/image/905.pdf,psychiana1178
Untitled letter accompanying Lesson Ten,A form letter from Frank B. Robinson sent with Lesson ten. Robinson instructs his students to keep quiet to give the God-Law an opportunity to work.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lesson; God-Law; Opportunity,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1179,1179,906.pdf,/psychiana/image/906.pdf,psychiana1179
Untitled letter accompanying Lesson Eleven,A form letter from Frank B. Robinson sent with Lesson eleven. Robinson instructs his students to put God-Law to work in their lives.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,God-Law; Spiritual God-Realm; Creative-Intelligence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1180,1180,907.pdf,/psychiana/image/907.pdf,psychiana1180
Untitled letter accompanying Lesson Twelve,A form letter from Frank B. Robinson sent with Lesson twelve. Robinson instructs to read between the lines of this lesson.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lessons; Spiritual; Truth,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1181,1181,908.pdf,/psychiana/image/908.pdf,psychiana1181
Untitled letter accompanying an advanced lesson,A form letter from Frank B. Robinson sent with a Lesson.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Power; Mighty Life Spirit; Power,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1182,1182,909.pdf,/psychiana/image/909.pdf,psychiana1182
Untitled letter accompanying Lesson Fifteen,A form letter from Frank B. Robinson sent with Lesson fifteen. No special instructions with lesson.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Spiritual Realm; God; Lesson; Living God-Law,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1183,1183,910.pdf,/psychiana/image/910.pdf,psychiana1183
"The Psychiana Bulletin, December 1950","Bulletin includes various articles, focusing on Christmas and the critical importance and meaning the holiday may have lost over the years. Also discusses the joy of dressing up as Santa Claus. Other articles discuss if the existence of God can be proven, offering examples of the Life Principle and the God-Law.","Bach, Marcus; 'The Wayfarer'; Various",,1950-12-01,,multiple-page; bulletins,Psychiana Bulletin,Christmas; God-Law; Life Spirit; God-Law Examples,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 26",MG101_b4_f26_023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1184,1184,911.pdf,/psychiana/image/911.pdf,psychiana1184
Untitled letter accompanying Lesson Sixteen,A form letter from Frank B. Robinson sent with Lesson sixteen. Robinson asks his student to study the lesson many times.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lessons; Creation; Spiritual Law; Natural Laws,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1185,1185,912.pdf,/psychiana/image/912.pdf,psychiana1185
Untitled letter accompanying Lesson Eighteen,A form letter from Frank B. Robinson sent with Lesson eighteen. Robinson tells his student to apply the principle of the lesson.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lessons; God-Law; Happiness; Peace; Supply; Truth,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_016,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1186,1186,913.pdf,/psychiana/image/913.pdf,psychiana1186
Untitled letter accompanying Lesson Nineteen,A form letter from Frank B. Robinson sent with Lesson nineteen. Robinson explains that with the mastering of this lesson you will be able to 'overcome every undesirable condition in your life'.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,Lessons; God-Law; Weapon; God-Realm,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_017,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1187,1187,914.pdf,/psychiana/image/914.pdf,psychiana1187
Untitled letter accompanying Lesson Five,A form letter from Frank B. Robinson sent with Lesson five. Robinson encourages the student to notify him of any progress or difficulty they may have with the lesson.,"Robinson, Frank B.",Dear Friend and Student,1932,yes,single-page; form letters,God-Law; Lesson; Heavens,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1188,1188,915.pdf,/psychiana/image/915.pdf,psychiana1188
Untitled letter,A form letter from Frank B. Robinson sent with last Lesson of the Advanced Course. Frank B. Robinson talks about joining the 'Psychiana' Brotherhood and the cost of membership.,"Robinson, Frank B.",Dear Friend and fellow-student,1932,yes,single-page; form letters,Lessons; Brotherhood; Membership; Costs; Spiritual Law,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_018,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1189,1189,916.pdf,/psychiana/image/916.pdf,psychiana1189
To Our New Members,A form pamphlet from Frank B. Robinson acknowledging membership sent with lesson one. Frank B. Robinson reminds the new member to do their duty to spread the good news.,"Robinson, Frank B.",,1932,yes,single-page; pamphlets,Membership; Orthodox; Religion;,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1190,1190,917.pdf,/psychiana/image/917.pdf,psychiana1190
Regarding finances,A form pamphlet from the Administrative department of Psychiana explaining the need for fees. Members are reeminded that it is a non-profit religious charter and that the charges are for material received.,Administration Department,,1937,yes,multiple-page; pamphlets,Finances; Power; God; Spirit; Lessons,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_020,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1191,1191,918.pdf,/psychiana/image/918.pdf,psychiana1191
Psychiana a Movement of the Spirit of God on the Earth Special Notice,A form letter from Frank B. Robinson explaining the hardship caused by not paying for the lessons.,"Robinson, Frank B.",Dear Fellow-Student,1938,yes,single-page; form letters,Movement; Lessons; Payment; Obligations,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1192,1192,919.pdf,/psychiana/image/919.pdf,psychiana1192
Psychiana a Movement of the Spirit of God on the Earth Letter of Transmission with Lesson One,A form letter from Frank B. Robinson with lesson one. Robinson offers questions that the student may use to make sure that student is grasping the fundamentals of the lesson.,"Robinson, Frank B.",Dear Fellow-Student,1938,yes,single-page; form letters,Lessons; Questions; Movement,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1193,1193,920.pdf,/psychiana/image/920.pdf,psychiana1193
Psychiana a Movement of the Spirit of God on the Earth Letter of Transmission with Lesson Two,A form letter from Frank B. Robinson with lesson two. Robinson offers the dynamic God-Truth and the power from within you.,"Robinson, Frank B.",Dear Fellow-Student,1938,yes,single-page; form letters,Lesson; Power; Realm of God; Questions,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 7, Folder 22",MG101_b7_f22_023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1194,1194,921.pdf,/psychiana/image/921.pdf,psychiana1194
"The Psychiana Bulletin, January 1951","Bulletin includes a primary article discussing the nature of aging and recommends resources and ways to stay young as the body ages. Another article includes quotes and musings on war and a fight against Russia. Also includes stories written for children, letters from students, Q and A, and other articles.",The Wayfarer'; Various,,1951-01-01,,multiple-page; bulletins,Psychiana Bulletin,"Russia; War; Physical Body, Again; Testimonials","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 26",MG101_b4_f26_024,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1195,1195,922.pdf,/psychiana/image/922.pdf,psychiana1195
