title,creator,date,location,lat-long,subject,description,collection,series,related-dataset,contributors,publisher,contributing-institution,language,iwrri-number,object-id,rights,rights-standardized,format,type,date-digital,digitization-specifications,metadata-cataloger,filename,cdm-id
State climate services for Idaho,"Molnau, Myron.",1988,,,Climates; Climatic data,"Climatic information is essential to every citizen of Idaho. Whether these citizens are farmers or recreationists, researchers or corporate executives, engineers or planners, climate plays a key role in planning and every day study. This single-sheet brochure is a brief summary of information services and sources, including NHIMS, AGRIMET, and SNOTEL.",IWRRI,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198806,iwdl-198806,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198806.pdf,600
"Characterization of soil cover and estimation of water infiltration at Central Facilities Area Landfill II, Idaho National Engineering Laboratory (INEL)","Miller, S. M.; Hammel, J. E.; Hall, L. F.",1989-05,Southern Idaho,,Hydrogeology; Waste management; Infiltration,"To assist the Geosciences Unit of E G & G Idaho, Inc. with hydrogeologic characterization of Central Facilities Area (CFA) Landfill II, researchers at the University of Idaho have completed a project aimed at characterizing the soil cover and estimating the annual water infiltration through the cover. Based on historical evidence of landfill operations and on the results of particle size analyses with depth, it is reasonable to divide the soil cover into two layers: (1) an upper surface layer approximately 1-ft. thick consisting of more sand than gravel, and (2) a lower layer at depths greater than 1 ft. consisting of more gravel than sand. The overall thickness of the soil cover was measured with a hand auger at 60 locations across the landfill. A field procedure using cheese-cloth and resin was successfully used to collect large, undisturbed specimens of coarse-grained soils. Water retention tests of the large cores and smaller specimens comprised of the fine fraction (particles smaller than 2.0 mm) provided relationships of capillary pressures vs. water content. Historical meteorological data from a 31-year record was used to estimate the amount of water available for annual infiltration through the soil cover (i.e., recharge). The median value of annual (PPT-ETA) was combined with block-kriged maps of cover thickness, percent-fines in Layer 1, and percent-fines in Layer 2 to generate maps depicting the estimated annual infiltration through the cover (in 50 x 50 ft. cells) for a ""median year. Based on results, regulatory closure f CFA Landfill II will require the design and construction of a soil cap. Soil materials that contain more silt and clay than Layer 1 material will be required to economically construct a cap. In addition, ground surface sloping and a properly selected cover crop of grasses should be incorporated into any prudent design of the soil cap.",Boise Basin,,Document 198908 contains supplemental appendices.,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198907,iwdl-198907,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198907.pdf,601
The Idaho pocket guide to lake protection,"Piva, Riccardo",1988,,,Lakes; Watersheds; Pollutants,"Idaho's 1,300 lakes serve as source of pride and enjoyment for all of us. They provide us with natural settings where we can work, live, and play.  This guide will help you better understand what you can do to insure that the lake you appreciate and need will continue to be what you want it to be. It will outline some of the problems facing your lake, identify other life forms that depend on it for habitat and give you a better idea of what a lake really is.  This brochure was made possible by funding from the Idaho Water Resource Research Institute in cooperation with the Panhandle Health District I.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198809,iwdl-198809,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198809.pdf,602
Secondary impacts and benefits of water reallocations in the Snake River Basin of Idaho,"Keith, Joh, E.; Glover, Terrence F.",1988-10,Snake River Basin; Southern Idaho,"43.243, -116.379",Water rights; Water allocation; Irrigation; Economic analysis; Economic evaluation; Economic impact,"The Swan Falls agreement recently resolved a long-standing water rights issue in the State of Idaho, and Congress recently approved the agreement. As part of that agreement, Idaho  Power Company subordinated some of its water rights, and, as a result, new water supplies have become available for other uses. The State is now charged with the task of estimating the potential benefits which would accrue to other uses, particularly new irrigation. Three studies of potential new uses and reallocations were contracted by the State; these studies included a guide to benefit estimation, a study of water markets, and an examination of economic impacts. The objectives of this study were to estimate the economic impacts and multipliers for the State, with particular reference to the involved sectors, and to discuss the use of impacts and impact analysis in the estimation of benefits of the new water supply to the region and the State. Economic impacts can be estimated using several techniques, including econometric models, simulation models, and input-output analysis; this study utilized input-output approaches. Submitted to the Snake River Studies Advisory Committee, Office of the Governor, State of Idaho.",Boise Basin,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198805,iwdl-198805,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198805.pdf,603
Ground water evaluation at a solid waste site,Idaho Water Resources Research Institute; University of Idaho,1989-04,,,Hazardous materials; Waste disposal; Hydrogeology; Groundwater; Monitoring; Groundwater pollution,"The purpose of this 2-day shortcourse is to present an overview of ground water evaluation and monitoring at waste disposal sites. This course is nonmathematical in nature and will provide instruction in hydrogeologic characterization of solid waste disposal sites, monitoring well design and construction and impact of the Resource Conservation and Recovery Act of 1976 in Washington and Idaho. This short course is directed to professionals in the field, program managers, graduate students and interested public. Instructors are as follows: Dr. Dale Ralston is a professor of hydrogeology at the University of Idaho and Acting Director of the Idaho Water Resources Research Institute. Dr. James Osiensky is an associate professor of hydrogeology at the University of Idaho and is stationed in the Department of Geology and Geophysics at Boise State University. Mr. Ching-Pi Wang, P.E. is a registered professional engineer in the State of Washington and is Senior Hydrogeologist with the State of Washington Department of Ecology. Mr. Wang is in charge of hydrogeologic investigations at landfills and hazardous waste sites.",IWRRI,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198904,iwdl-198904,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198904.pdf,604
"Groundwater contamination from agriculturally applied pesticides. Research technical completion report, 14-08-0001-G1419-04","Morra, M.  J.",1988-05,,,Groundwater contamination; Pesticides; Groundwater movement,"Approximately 90 percent of the public water supply in Idaho originates from groundwater, thus making potential pesticide contamination a key issue. A small, but significant portion of the applied pesticide is transported through the soil column more quickly than predicted by currently available models. It has been proposed that increased pesticide mobility occurs as a result of pesticide complexation with a water soluble soil organic fraction, in which the pesticide-organic complex moves faster than the pesticide alone. The present research project is being conducted to (1) develop the methodologies for qualitatively and quantitatively studying pesticide complexation with water soluble soil materials, (2) define the key variables controlling complexation, (3) compare predicted complexation and pesticide mobility alteration with actual results obtained in simulated field situations, and (4) propose a model input variable to produce more accurate estimates of pesticide transport in soil. [...]",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198808,iwdl-198808,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198808.pdf,605
"Mean annual precipitation map for Idaho. Research technical completion report, 14-08-0001-G1419-32","Molnau, Myron; Winters, Francis M.",1988-07,,,Precipitation; Mapping; maps; Computer models,"Sound estimates of the amounts and distributions of mean annual precipitation in Idaho have become increasingly important in recent years because of stringent design requirements and increasingly tighter supplies of water. Agriculture, hydropower, wildlife, recreation and others are putting forth claims to a scarcest resource. The current mean annual precipitation (MAP) map of Idaho was prepared in 1965. Since then, more data have been collected, particularly in the higher elevation zones where the previous map had to rely on models to provide estimates. The Soil Conservation Service's SNOTEL system provides data for these very important high elevation zones where the majority of Idaho's water originates. Lower elevation data are obtained primarily from the National Weather Service Cooperative network. Monthly data were compiled for the base period of 1961 to 1985. Missing data were estimated by using an average system surrounding stations. All of these data were then plotted using a contouring package. For this report, no manual smoothing was done as the primary objective was to prove out the mapping technique. For the next phase of the project, various interpolation techniques will be used as well as regression models in areas of sparse or uncertain data. The coefficient of variation of the annual precipitation was also plotted. This resulted in a very smooth contour suggesting that lines of equal coeffient of variation could be overlayed upon the MAP , giving users an idea of the variation in precipitation as well as the mean value. Submitted to the U.S. Geological Survey.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198807,iwdl-198807,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198807.pdf,606
Handbook for the economic evaluation of application for appropriation of surface and groundwater in the State of Idaho,"Young, Robert A.; Howe, Charles W.",1988-02,Snake River Basin; Southern Idaho,"43.243, -116.379",Water rights; Appropriation; Water management; Economic evaluation; Public policy,"The ""Swan Falls Agreement"" signed on October 25, 1984 by Governor John Evans and Attorney General Jim Jones for the State of Idaho and James Bruce, Chief Executive Officer of the Idaho Power Company established a framework for resolving a controversy that has been simmering for sixty years. Citizens of the Upper Snake Valley in Idaho became concerned in the early nineteen-twenties that a downstream water right for hydroelectric power generation (a non-consumptive, in-stream use) could stand in the way of future upstream diversionary uses (such as for irrigation and industry. [...] Increasing demands for electricity in [the] water service area, much of which came from pumping for irrigation caused the Idaho Power Company in recent years to seek additional power sources..., and resulted in the Company filing suit against the State to determine the status of water rights... The Idaho Supreme Court held in 1982 that the Company's Swan Falls hydroelectric plant water right was not subordinate to the upstream developments that had occurred over the intervening decades, which resulted in an overappropriation of the Snake River. Legislative attempts to resolve the issue were stalemated. Parties entered into negotiations to attempt a complete settlement of the water rights controversy. The State of Idaho has commissioned this study to provide guidance for its officials in implementing the economic component of the Public Interest Criteria [of the Swan Falls Agreement]. The study authors were directed to draw upon the currently available economic literature to ensure that the methodologies proposed are well-grounded in ""generally-accepted"" economic principles. [...] Submitted to the Snake River Studies Advisory Committee, State of Idaho.",Boise Basin,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198812,iwdl-198812,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-07,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198812.pdf,607
Analysis of ground water recharge from paradise creek at the University of Idaho Groundwater Research Site: Part I,"Ralston, Dale R.; Li, Tong",1989-11,Pullman; Moscow; Northern Idaho,"46.73, -117.01",Surface water; Groundwater; Alluvial aquifers; Flow discharge; Monitoring,"The purpose of this report is to increase the understanding of ground water recharge to basalt aquifers in the Pullman-Moscow basin. The general objective is to utilize wells at the University of Idaho Ground Water Research Site to study the interrelationship between  Paradise Creek and shallow alluvial and basalt aquifers. The specific objectives are as follows: (1) monitor ground water levels and surface flow discharge in the Paradise Creek at the UI Ground Water Research site, (2) analyze the water level and surface flow data with respect to site hydrogeology, and (3) describe the controls for recharge of shallow aquifers from streams in the area.",Palouse Basin,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198905,iwdl-198905,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198905.pdf,608
"Use of multivariate modeling to estimate impacts of groundwater withdrawals on streamflow for the Camas Creek basin. Research technical completion report, 14-08-0001-G1419-08","Horn, Dennis; Jeong, Sangman",1989-05,Camas Creek Basin; Southern Idaho,"43.34, -114.40",Groundwater availability; Conjunctive use; Groundwater; Streamflow; Streamflow depletion; Irrigation; Water management,"The conjunctive use of surface and groundwater has been recognized as posing significant water rights issues in many of the Idaho river basins. Increases in groundwater pumping rates, primarily for irrigation, have led to changes in surface streamflow, affecting previously allocated surface water rights. However, the magnitude of this effect and its variability over time remain difficult to estimate. The primary objective of this study was to develop a multivariate monthly flow model for Camas Creek, based on stream flows in neighboring basins, and to test whether such a model is sensitive enough to detect, at some statistical level of significance, any streamflow changes that may have resulted from groundwater withdrawals. Monthly streamflow records from Camas Creek and three similar neighboring basins were used to develop a multivariate monthly streamflow model of Camas Creek. Model parameters were based on the recorded statistics for the record period common to groundwater development within the Camas Creek basin. The model was developed and tested for its ability to adequately reproduce the historic pre-irrigation time series for Camas Creek. Then the model was applied to the time period in which significant groundwater withdrawals occurred. A comparison of the modeled streamflow with the actual flows for this period was used to estimate the impacts of groundwater pumping on monthly, seasonal, and annual streamflows. The differences between the two time series were related to the history of groundwater development within the basin. Although the model appeared to simulate the overall historic time series reasonably well, its performance varied by month and season. The application of the model to the time period in which the Camas Creek basin groundwater withdrawals were significant produced a simulated record with lower streamflows than those observed. This may be attributed to the fact that most of the large wells have pumped from deep aquifers, with no connection to the surface stream aquifers.",Boise Basin,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198902,iwdl-198902,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198902.pdf,609
"Development and demonstration of pump station and surface diversion monitor systems for water and energy efficiency improvements. Research technical completion report, 14-08-0001-G141905","Brockway, C. E.; Robison, C. W.",1988-07,Southern Idaho,,Pump wells; Surface water; Water diversion,"Microprocessor based monitoring units for pump station and open channel diversions were developed and installed at eight locations in southern Idaho. Commercial electronic units and sensors were utilized to provide operator accessible data as well as storage of measured and calculated parameters. Pump station monitors measure and record input energy, lift and pumping pressures, discharge, and calculated system efficiency as well as cost per unit volume of water pumped. Open channel diversion monitors utilize float-operated variable potentiometers to record water stage as input to discharge rating curves stored in the processor. Some start-up and operational problems such as battery drain have been corrected and the units provide useful data both for operational evaluation as well as water rights administration.",,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198801,iwdl-198801,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-05,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198801.pdf,610
"Evaluation of hydrogeologic siting criteria for siting hazardous waste management facilities in Idaho, Research technical completion report","Ralston, Dale R.; Hill, Bradley M.",1989-05,Southern Idaho,,Hazardous materials; Waste management; Waste disposal; Hydrogeology; Groundwater pollution,"The Idaho Legislature addressed the issue of land disposal of hazardous wastes by adopting the Hazardous Waste Facility Siting Act in 1985. This Act established a committee charged with developing the Idaho Hazardous Waste Management Plan. The plan was formulated and passed the State Legislature in 1987. Hazardous waste facility siting criteria, included in the plan, were developed for siting future land disposal hazardous waste management facilities in Idaho. The siting criteria address depth to water, depth to fractured rock, thickness of unconsolidated fine-grained sediments beneath the proposed site, minimum distance to water supply wells, distance to surface water and location outside of a 500-year recurrence interval floodplain. Two standardized methods for comparing and ranking the hydrogeology at a waste management facility were reviewed. The standard methods of DRASTIC and Harry E. LeGrand were analyzed to determine their effectiveness of siting new facilities within Idaho. Hydrogeologic siting criteria from the States of New Jersey, New York, Arizona, and California were evaluated and compared to the Idaho criteria. New Jersey, California, and Idaho addressed the most comprehensive range of hydrogeologic issues; however, Idaho's criteria are the most stringent. A preliminary application of the Idaho hydrogeologic siting criteria using existing available public information is presented for a portion of southwestern Idaho. The depth to fractured rock and depth to water criteria are the most restrictive in limiting potential sites.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198903,iwdl-198903,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198903.pdf,611
"Supplemental Appendices: Characterization of soil cover and estimation of water infiltration at Central Facilities Area Landfill II, Idaho National Engineering Laboratory (INEL)","Miller, S. M.; Hammel, J. E.; Hall, L. F.",1989-05,Southern Idaho,,Hydrogeology; Waste management; Infiltration,"This document contains supplemental appendix AA, the estimated (PPT-ETA) values at CFA Landfill II, and Appendix BB, the daily precipitation and temperature data used to estimate (PPT-ETA) values at CFA Landfill II.",Boise Basin,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198908,iwdl-198908,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198908.pdf,612
"Mapping precipitation in Idaho: a study of data estimation and interpolation procedures. Research technical completion report, 14-08-0001-G1559-32","Winters Jr., Francis M.; Molnau, Myron; Chang, Kang-tsung",1989-09,,,Precipitation; Mapping; maps; Computer models,"As the competition for Idaho's available water has increased, increased attention has been paid to the amount and distribution of precipitation in Idaho. To adequately manage this valuable resource, a good understanding of the precipitation pattern is essential. In particular, a new map of mean annual precipitation is needed. The current map was based primarily on data from low-lying weather stations. Since its completion, new data have shown this map to be inaccurate, especially at high elevations where new data from the SNOTEL network are now available. A new series of mean annual precipitation maps at a scale of 1:250,000 is now being drawn. A computer contouring procedure is used to create the preliminary maps with the final maps being manually drawn. The database used is the National Weather Cooperative Network and the Soil Conservation Service SNOTEL stations. All data records were gathered and standardized to the 1961-1985 base period. Next, multiple regression equations were developed to estimate point precipitation values where no gages exist. Third, point interpolation procedures were investigated as to their appropriateness for use on the data set. Either the normal ratio method or multiple regression was used to derive missing values. Acceptable estimates were made for all missing data. Multiple regression equations for point precipitation data were derived to estimate precipitation in between locations of snow precipitation. The final equations were of the form log(MAP) = f(elevation, location, airmass lifting index). An equation was derived for each of seven regions. Acceptable estimation equations were derived for all but two of these regions. For the automated production of preliminary isohyets, two point interpolation procedures were examined. The advantages and limitations of the inverse distance method and the punctual Kriging procedure were investigated.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,198909,iwdl-198909,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,198909.pdf,613
"Periphyton development of inshore areas on Pend Oreille Lake, northern Idaho. Research technical completion report, 14-08-0001-G1559-05","Falter, C. Michael; Olson, Dale",1990-09,Lake Pend Oreille; Northern Idaho,"48.14, -116.40",Lakes; Aquatic productivity; Phosphorus; Coliforms; Streptococcus; Land development,"Sixteen sites were established at south, mid, and north lake areas on Pend Oreille Lake, Idaho in 1989. Information on inshore water chemistry, bacteria, physical/chemical conditions, and productivity of attached benthic algae and aquatic macrophytes was gathered. Sites were sampled in July, August, and September 1989. Mean inshore total phosphorus was greater near developed areas than undeveloped areas all three months. Highest fecal coliform counts were seen in August at Bayview (south lake) (50/100ml) and Trestle Creek (10/100ml), two developed sites. Conversely, fecal streptococci counts were highest at Warren Island (greater than 100/100ml) and Talache (72/100ml), two relatively undeveloped sites. Maximum summer transparencies were found in mid and south lake areas, up to 11.1 m. Shallow north bays had the lowest transparency readings with a minimum of 0,35 m. Mean chlorophyll a values from attached algae correlated with level of shoreline development or higher values at more developed sites and lower values at less developed sites. Total (Aug. plus Sept.) mean chlorophyll a on artificial substrates was 4.3 mg/m^2 for developed sites vs 2.1 mg/m^2 at undeveloped sites. August and September aquatic macrophyte data show highest production 3.0 to 4.9 m deep, with a rapid decline from 4.9 to 6.7 m. Production was found to be at or near zero from 6.7 to 10.1 m deep.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199001,iwdl-199001,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199001.pdf,614
Water quality education/non-point source management: a step forward in the antidegradation process,Idaho Water Resources Research Institute; University of Idaho,1990-08,,,Water quality; Water quality criteria; Nonpoint pollution sources; Education; Water management; Hydrology; Aquatic habitats,"Differing levels of knowledge and the varying backgrounds of non-technical people create obstacles in making antidegradation and other water quality programs operate efficiently. A more informed base for individuals who will be participating in working groups called for in the Antidegradation Agreement, will be accomplished by a workshop on water quality basics. Individuals will be involved in examining watersheds, identifying problems and prescribing solutions. In addition, participants will familiarize themselves with terminology, non-point control strategies, fish habitat requirements, the law and regulations, and other aspects of water quality protection. The workshop will properly prepare the working groups for their responsibilities before they begin the watershed work required in the Agreement.  Instructors: Mr. Bill Clark is a Senior Surface Water Quality Analyst at the Division of Environmental Quality, Idaho Department of Health and Welfare, Boise, Idaho. Dr. C. Michael Falter is a professor in the Fish and Wildlife Resources Department at the University of Idaho.  Mr. Joe Hinson is Executive Vice President at the Intermountain Forest Industry Association, Coeur d'Alene, Idaho. Mr. Bill Love is Chief of the Bureau of Private Forestry at the Idaho Department of Lands, Coeur d'Alene, Idaho. Dr. Dennis L. Scarneccia is an associate professor in the Fish and Wildlife Resources at the University of Idaho. Dr. Fred Watts is a professor in the Civil Engineering Department at the University o Idaho. Mr. Will Whelan is the Policy Analyst at the Idaho Conservation League, Boise, Idaho.",IWRRI,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199002,iwdl-199002,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-11,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199002.pdf,615
"Hazardous waste: issues, problems, solutions",Idaho Water Resources Research Institute; University of Idaho,1990-05,,,Hazardous materials; Waste management; Waste disposal; Hydrogeology; Groundwater pollution,"No contextual information provided. This is a collection of abstracts from various stakeholders, including government regulatory bodies, agencies, industry, and academia in response to a Planning Committee request for input about hazardous waste issues, case studies, and management solutions. Topics are arranged as follows: (1) Hazardous waste issues, (2) Industry perspectives, (3) Federal facility compliance, (4) Innovative technologies, (5) Solutions, and (6) Hazardous waste case studies. The Planning Committee is chaired by Roy L. Mink, Director of Idaho Water Resources Research Institute and Co-director of the Center for Hazardous Waste Remediation Research, University of Idaho.",IWRRI,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199003,iwdl-199003,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-12,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199003.pdf,616
"Geohydrology and numerical model analysis of ground-water flow in the Pullman-Moscow area, Washington and Idaho. U.S. Geological Survey Water-resources investigations report 89-4103","Lum, W. E. II; Smoot, J. L.; Ralston, D. R.",1990,Pullman; Moscow; Northern Idaho,"46.74, -117.17",Groundwater; Groundwater development; Confined aquifers; Unconfined aquifers; Water supply; Computer models,"The Pullman-Moscow area of southeastern Wash ton and northern Idaho depends on ground water as the principal source of water, but increasing pumpage rates and declining ground-water levels indicate a need for ground-water management. Using data from a study done by the U.S. Geological Survey in the 1970's and up-to-date data collected for this study, a three-dimensional numerical computer model of the ground-water-flow system was constructed to provide an understanding of the geohydrology of the study area. The ground-water-flow model incorporates three layers -- an overlying surficial loess layer, a Wanapum Basalt layer, and a Grande Ronde Basalt layer. A ground-water-system recharge rate was estimated using a methodology developed by the U.S. Geological Survey. Ground-water discharge was modeled as ground-water pumping, flow to rivers and streams, and flow out of seepage faces, where a layer is incised by a river valley. Three cross-sectional flow models, distributed across the domain of the three-dimensional model along estimated flow lines in the Grande Ronde Basalt, were used to obtain hydraulic coefficient input for the three-dimensional model. The three-dimensional model was calibrated using the time-averaged method for the period 1974-85, and was evaluated by simulating historical pumpage rate changes (1890-1985) and comparing simulated with observed water-level changes. Model results suggest that ground-water levels would stop declining if ground-water pumpage were to stabilize at a constant level. However, ground-water levels will continue to decline in the foreseeable future as long as ground-water pumpage continues to increase. Further study of the recharge, movement, and discharge of ground water in the area is needed to increase the accuracy of any ground-water-flow model to predict the response of the flow system to future pumping stresses.",Palouse Basin,,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199004,iwdl-199004,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-12,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199004.pdf,617
"Characterization of soil cover and estimation of water infiltration at Central Facilities Area Landfill II, Idaho National Engineering Laboratory (INEL). Research technical completion report, subcontract No. C85-110544","Miller, Stanley M.; Hammel, John E.; Hall, L. Flint",1990-06,INL; Southeastern Idaho,"43.519, -112.045",Hydrogeology; Waste management; Infiltration,"To assist the Geosciences Unit of E G & G Idaho, Inc. with hydrogeologic characterization of Central Facilities Area (CFA) Landfill II, researchers at the University of Idaho have completed a project aimed at characterizing the soil cover and estimating the annual water infiltration through the cover. Based on historical evidence of landfill operations and on the results of particle size analyses with depth, it is reasonable to divide the soil cover into two layers: (1) an upper surface layer approximately 1-ft. thick consisting of more sand than gravel, and (2) a lower layer at depths greater than 1 ft. consisting of more gravel than sand. The overall thickness of the soil cover was measured with a hand auger at 60 locations across the landfill. A field procedure using cheese-cloth and resin was successfully used to collect large, undisturbed specimens of coarse-grained soils. Water retention tests of the large cores and smaller specimens comprised of the fine fraction (particles smaller than 2.0 mm) provided relationships of capillary pressures vs. water content. Historical meteorological data from a 31-year record was used to estimate the amount of water available for annual infiltration through the soil cover (i.e., recharge). The median value of annual (PPT-ETA) was combined with block-kriged maps of cover thickness, percent-fines in Layer 1, and percent-fines in Layer 2 to generate maps depicting the estimated annual infiltration through the cover (in 50 x 50 ft. cells) for a ""median year. Based on results, regulatory closure f CFA Landfill II will require the design and construction of a soil cap. Soil materials that contain more silt and clay than Layer 1 material will be required to economically construct a cap. In addition, ground surface sloping and a properly selected cover crop of grasses should be incorporated into any prudent design of the soil cap.",,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199005,iwdl-199005,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-12,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199005.pdf,618
"Interaction of synthetic organic contaminants with natural colloidal materials. Research technical completion report, 14-08-0001-G1559-02","Morra, M. J.",1990-09,,,Groundwater contamination; Pesticides; Groundwater movement,"Approximately 90 percent of the public water supply in Idaho originates from groundwater, thus making potential pesticide contamination a key issue. A small, but significant portion of the applied pesticide is transported through the soil column more quickly than predicted by currently available models. It has been proposed that increased pesticide mobility occurs as a result of pesticide complexation with a water soluble soil organic fraction, in which the pesticide-organic complex moves faster than the pesticide alone. The present research project is being conducted to (1) develop the methodologies for qualitatively and quantitatively studying pesticide complexation with water soluble soil materials, (2) define the key variables controlling complexation, (3) compare predicted complexation and pesticide mobility alteration with actual results obtained in simulated field situations, and (4) propose a model input variable to produce more accurate estimates of pesticide transport in soil. This report presents the second year results of the three-year study, focusing on objectives 1 and 2. It is organized in chapters, each of which is intended as a separate peer review publication. We have: obtained the spectra of humic materials in aqueous solution; developed methods to obtain unaltered organo-mineral colloids from soils and non-destructively measured the C and N content of these colloids; extensively studied the fluorescence characteristics of a cationic herbicide (difenzoquat); and confirmed that humic acid interacts with nonionic synthetic organic compounds in a partitioning manner and therefore is a potential carrier for nonionic contaminants in the soil.",IWRRI,Water for Idaho,,,Idaho Water Resources Research Institute; University of Idaho,University of Idaho,eng,199007,iwdl-199007,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2017-09-12,"400 ppi, Fujitsu fi-6770 image scanner, Archival Master file is a TIFF",KIT,199007.pdf,619
