title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Mining scholarships,"Thomas F. McManus, president of the Sunshine Mining Company, presents University of Idaho scholarships to children of mining company employees. Individuals identified from left to right: Dick Wilson, Janet Bellamy, John Magura, Jr., Gregory Dionne, and Larry Sabala",1965,yes,students; awards,Academics,Awards,46.726494,-117.013909,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-70,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-11,2018-04-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1625,1625,1626.jp2,/pg2/image/1626.jp2,pg21625
Outstanding Seniors [04],President Donald R. Theophilus stands for a group photo with the outstanding seniors.,1964,yes,students; awards,Academics,Awards,46.725591,-117.011072,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-71,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-11,2018-04-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1626,1626,1627.jp2,/pg2/image/1627.jp2,pg21626
Donald Clark receives the Interfraternity Council trophy,"University of Idaho student Donald Clark, president of Kappa Sigma fraternity, accepts the Interfraternity Council trophy from University of Idaho President Jesse E. Buchanan.",1953,,awards; honors,Academics,Awards,46.725694,-117.011096,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-05,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-04-24,2018-04-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1717,1717,1718.jp2,/pg2/image/1718.jp2,pg21717
Seniors receive special awards [01],"Outstanding seniors receive special awards from President Donald Theophilus. Individuals identified as listed. Front: Ann Marie Becker, Edith Louise Vandenbark, Neela McCowan, Patricia Kay Bozarth, Carolyn Dempsey Mitchell; middle: Dwight Chapin, Leo Tafolla, Karl Bittenbender, Jack Macki, James Flanigan; back: Bruce Summers, Terence White, William Agee, etc.",1960,,awards; honors; group portrait,Academics,Awards,46.725538,-117.010996,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-08,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-24,2018-04-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1718,1718,1719.jp2,/pg2/image/1719.jp2,pg21718
"Janice Crisp, winner of national Most Valuable Student contest","University of Idaho student Janice Crisp, winner of national Most Valuable Student contest, and Dr. Boyd A. Martin, assistant dean of College of Letters and Sciences.",1954,,awards; honors,Academics,Awards,46.725974,-117.011272,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-04,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-04-24,2018-04-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1719,1719,1720.jp2,/pg2/image/1720.jp2,pg21719
Seniors receiving special awards [02],"The Outstanding Seniors pose for a group photo before receiving their awards. Individuals identified as listed. Front: Jack Streibick, Mary Kniefel, Virginia Monson, Ronald Osborn; middle: Chong Ho, Richard D. Gott, Lon Davis, Keith Bingham, Iain Baxter, David G. Mickle; back: Thomas M. Ikebara, David Hansen, Robert Prestel, James Howland",1959,,awards; honors; group portrait,Academics,Awards,46.725543,-117.010918,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-03,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-24,2018-04-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1720,1720,1721.jp2,/pg2/image/1721.jp2,pg21720
Sally Rose Holz accepts the Phi Upsilon Omicron plaque,University of Idaho student Sally Rose Holz accepts the Phi Upsilon Omicron plaque from University of Idaho President Jesse E. Buchanan after being chosen as the 1952-53 Outstanding Freshman Woman in Home Economics.,1953,,awards; honors,Academics,Awards,46.725793,-117.011058,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-06,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-04-24,2018-04-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1721,1721,1722.jp2,/pg2/image/1722.jp2,pg21721
Mary of Scotland' J. Madison and Janet Biker [01],"J. Madison and Janet Biker hold each other during Idaho drama's production of ""Mary of Scotland.""",1954,yes,"scenes (depictions), actors (performing artists), costumes (character dress), plays (performed works)",Theater,Mary of Scotland,46.725757,-117.011109,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_054c,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-04-27,2018-04-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1827,1827,1828.jp2,/pg2/image/1828.jp2,pg21827
Mary of Scotland' J. Madison and Janet Biker [02],"J. Madison holds Janet Biker from behind in Idaho drama's production of ""Mary of Scotland.""",1954,yes,"scenes (depictions), actors (performing artists), costumes (character dress), plays (performed works)",Theater,Mary of Scotland,46.725710,-117.011168,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_054d,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-04-27,2018-04-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1828,1828,1829.jp2,/pg2/image/1829.jp2,pg21828
Drama production of 'Teahouse of the August Moon' [01],Students perform a group scene during a drama production of 'Teahouse of the August Moon.' The actors are costumed as Japanese villagers and American soldiers. Individual performers are identified on the photograph's mount. University of Idaho,1959-03,yes,"actors (performing artists), scenes (depictions), plays (performed works)",Theater,Teahouse of the August Moon,46.725388,-117.010979,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,141-055a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-04-30,2018-04-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1829,1829,1830.jp2,/pg2/image/1830.jp2,pg21829
Drama production of 'Grand Prize' [04],Jolene Williams and Richard Roberge perform together on stage during a drama production of 'Grand Prize'.,1956,yes,"actors (performing artists), scenes (depictions), plays (performed works)",Theater,Grand Prize,46.725676,-117.011045,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,141-056d,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-04-30,2018-04-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1830,1830,1831.jp2,/pg2/image/1831.jp2,pg21830
Drama production of 'Grand Prize' [01],Richard Roberge and Jolene Williams perform together on stage during a drama production of 'Grand Prize'.,1956,yes,"actors (performing artists), scenes (depictions), plays (performed works)",Theater,Grand Prize,46.725522,-117.011024,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,141-056a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-04-30,2018-04-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1831,1831,1832.jp2,/pg2/image/1832.jp2,pg21831
Student Union Building under construction,A photograph of the 1950 addition to the Student Union Building under construction.,1950,yes,buildings; construction,Academics,Student Union Building,46.728754,-117.007108,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",143-013,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4x5 black and white print,image;stillimage,image/jpg,eng,2018-05-01,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1937,1937,1938.jp2,/pg2/image/1938.jp2,pg21937
Bookstore,A photograph of The Bookstore when it was located in the Blue Bucket.,1956,yes,buildings; bookstores,Academics,Student Union Building,46.728186,-117.007198,Publications Dept.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",143-015a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-01,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1938,1938,1939.jp2,/pg2/image/1939.jp2,pg21938
Open House at the Student Union Building,Students gather at the Student Union Building for an open house after completion of third addition.,1960,yes,students,Academics,Student Union Building,46.728823,-117.007386,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",143-016,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-01,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1939,1939,1940.jp2,/pg2/image/1940.jp2,pg21939
Jazz Band,The jazz band plays in the Bucket during the open house after completion of third addition to Student Union Building.,1960,yes,students; bands,Academics,Student Union Building,46.728407,-117.007295,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",143-017,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-01,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1940,1940,1941.jp2,/pg2/image/1941.jp2,pg21940
Dancing in the Student Union Building during the Open House [01],Students dance in the ballroom at the open house after the completion of a third addition to the Student Union Building.,1960,yes,students; dances,Academics,Student Union Building,46.728973,-117.007371,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",143-018,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-01,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1941,1941,1942.jp2,/pg2/image/1942.jp2,pg21941
Drama Production [21],"A group of people huddled up, talking during a drama production.",1965,yes,plays; men; women; actors,Theater,Drama Production,46.728731,-117.018013,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141-176f,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-03,2018-05-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2042,2042,2043.jp2,/pg2/image/2043.jp2,pg22042
Drama Production [22],A man and woman sit outside during a drama production.,1970,yes,plays; men; women; actors,Theater,Drama Production,46.727287,-117.013446,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141-176g,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-03,2018-05-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2043,2043,2044.jp2,/pg2/image/2044.jp2,pg22043
Drama Production [23],Two men read through their lines during a drama production.,1970,yes,plays; men; actors,Theater,Drama Production,46.728793,-117.018278,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141-176h,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-03,2018-05-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2044,2044,2045.jp2,/pg2/image/2045.jp2,pg22044
Drama Production [24],A women reads lines in front of a large audience during a drama production.,1965,yes,plays; women; audiences; actors,Theater,Drama Production,46.728694,-117.018218,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141-176i,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-03,2018-05-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2045,2045,2046.jp2,/pg2/image/2046.jp2,pg22045
Drama Production [26],Two men and a woman build set pieces during a drama production.,1970,yes,plays; men; women,Theater,Drama Production,46.728824,-117.017747,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141-177,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-03,2018-05-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2046,2046,2047.jp2,/pg2/image/2047.jp2,pg22046
Hawk Island production [05],"Scene from the University of Idaho drama production of 'Hawk Island.' Members of the cast include Lloyd Ruitel as Paul Cooper, Robert Herrick as Anthony Bryce, Margaret Moulton as Sally Rogers and Alberta Bergh Utt as Madeline Austin.",1933,yes,plays (performed works); actors (performing artists); scenes (depictions),Theater,Hawk Island,46.725940,-117.011251,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_137e,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4.25x6.25 black and white print,image;stillimage,image/jpg,eng,2018-05-07,2018-05-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2137,2137,2138.jp2,/pg2/image/2138.jp2,pg22137
Hawk Island production [06],"Scene from the University of Idaho drama production of 'Hawk Island.' In this scene, one of the guests is laying on the floor, dead. Members of the cast include Lloyd Ruitel as Paul Cooper, Robert Herrick as Anthony Bryce, Margaret Moulton as Sally Rogers and Alberta Bergh Utt as Madeline Austin.",1933,yes,plays (performed works); actors (performing artists); scenes (depictions),Theater,Hawk Island,46.725946,-117.011196,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_137f,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6.25x4.25 black and white print,image;stillimage,image/jpg,eng,2018-05-07,2018-05-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2138,2138,2139.jp2,/pg2/image/2139.jp2,pg22138
A Paragraph for Lunch production [02],"Group scene from the University of Idaho drama production of 'A Paragraph for Lunch.' Members of the cast include Grace Eldridge, John Thomas, Raphael Gibbs, Harry Robb, Margaret Moulton, Howard Altnow, Betty Brown, Lucile Moore, Elinor Jacobs, John Milner, Marthalene Tanner, and Casady Taylor.",1932-04,yes,plays (performed works); actors (performing artists); scenes (depictions),Theater,A Paragraph for Lunch,46.725954,-117.011309,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_138b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2018-05-07,2018-05-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2139,2139,2140.jp2,/pg2/image/2140.jp2,pg22139
Death Takes a Holiday production [01],"Scene from the University of Idaho drama production of 'Death Takes a Holiday.' Members of the cast include Lionel Campbell as Prince Sirki, Bertha Moore as Grazia, Clayne Robison as Duke Lambert, Winfred Janssen as Eric Fenton, Howard Altnow as Corrado, Raphael Gibbs as Baron Cesarea, and Casady Taylor as Major Whitred.",1932-02,yes,plays (performed works); actors (performing artists); scenes (depictions),Theater,Death Takes a Holiday,46.725887,-117.011232,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_139a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x4.25 black and white print,image;stillimage,image/jpg,eng,2018-05-07,2018-05-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2140,2140,2141.jp2,/pg2/image/2141.jp2,pg22140
A Paragraph for Lunch production [01],"Group scene from the University of Idaho drama production of 'A Paragraph for Lunch.' Members of the cast include Grace Eldridge, John Thomas, Raphael Gibbs, Harry Robb, Margaret Moulton, Howard Altnow, Betty Brown, Lucile Moore, Elinor Jacobs, John Milner, Marthalene Tanner, and Casady Taylor.",1932-04,yes,plays (performed works); actors (performing artists); scenes (depictions),Theater,A Paragraph for Lunch,46.725959,-117.011445,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",141_138a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2018-05-07,2018-05-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2141,2141,2142.jp2,/pg2/image/2142.jp2,pg22141
Twelfth Night production [05],Neal Christensen as Sebastian and Marian Davidson as Viola in the University of Idaho drama production of 'Twelfth Night.',1950,yes,plays (performed works),Theater,Twelfth Night,46.726015,-117.011554,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,141-005g,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-09,2018-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2227,2227,2228.jp2,/pg2/image/2228.jp2,pg22227
Twelfth Night production [06],Neal Christensen as Sebastian and Marian Davidson as Viola during the University of Idaho drama production of 'Twelfth Night.',1950,yes,plays (performed works),Theater,Twelfth Night,46.725795,-117.011602,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,141-005h,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-09,2018-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2228,2228,2229.jp2,/pg2/image/2229.jp2,pg22228
Twelfth Night backstage [01],Betty West (maid) and two unidentified actors wait backstage during the University of Idaho drama production of 'Twelfth Night.',1950,yes,plays (performed works),Theater,Twelfth Night,46.725814,-117.011439,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,141-005j,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-09,2018-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2229,2229,2230.jp2,/pg2/image/2230.jp2,pg22229
Twelfth Night backstage [02],Betty West (maid) and an unidentified actor wait backstage during the University of Idaho drama production of 'Twelfth Night.',1950,yes,plays (performed works); backstages,Theater,Twelfth Night,46.725538,-117.011071,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,141-005k,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-09,2018-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2230,2230,2231.jp2,/pg2/image/2231.jp2,pg22230
Green Grow the Lilacs production,Evan LaFollette as Jeeter Fry and Gene Roth as Curly McClain in the University of Idaho drama production of 'Green Grow the Lilacs.',1942-12,yes,plays (performed works),Theater,Green Grow the Lilacs,46.726100,-117.011542,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,141-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2018-05-09,2018-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2231,2231,2232.jp2,/pg2/image/2232.jp2,pg22231
"Idaho men's and women's Tennis teams, group photograph",The 1926 Idaho Tennis team poses near Campus Drive for its group photograph.,1926,yes,Tennis,Athletics,Tennis,46.724960,-117.009120,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,127-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6.75x4.5 black and white print,image;stillimage,image/jpg,eng,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2312,2312,2313.jp2,/pg2/image/2313.jp2,pg22312
"Women's Tennis Club, Coaching [01]",An unnamed women's Tennis instructor demonstrates the correct grip to a player.,1968,yes,Tennis,,Tennis,46.724872,-117.009250,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,127-11a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2313,2313,2314.jp2,/pg2/image/2314.jp2,pg22313
"Women's Tennis Club, Coaching [02]",An unnamed women's Tennis instructor provides lessons while her group of players watches.,1968,yes,Tennis,,Tennis,46.724892,-117.009265,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,127-11b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2314,2314,2315.jp2,/pg2/image/2315.jp2,pg22314
Returning a Serve,A women's Tennis player returns a serve during a Tennis volley.,1968,yes,Tennis,,Tennis,46.724908,-117.009274,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,127-11c,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2315,2315,2316.jp2,/pg2/image/2316.jp2,pg22315
"Serving, Women's Tennis practice [01]",An unnamed women's Tennis player connects on a serve at practice near Campus Drive.,1968,yes,Tennis,,Tennis,46.724927,-117.009277,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,127-11d,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,eng,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2316,2316,2317.jp2,/pg2/image/2317.jp2,pg22316
